"state","district","total_insurance_transactions"
"bihar","purnea district","3097"
"jammu-&-kashmir","baramulla district","3084"
"nagaland","dimapur district","3051"
"chhattisgarh","balod district","3045"
"chhattisgarh","korea district","3034"
"punjab","firozepur district","3027"
"assam","charaideo district","3015"
"jharkhand","koderma district","3005"
"gujarat","aravallis district","2985"
"andhra-pradesh","ananthapuramu district","2982"
"jharkhand","chatra district","2973"
"karnataka","chikkaballapur district","2966"
"madhya-pradesh","damoh district","2953"
"gujarat","porbandar district","2910"
"jharkhand","latehar district","2900"
"andhra-pradesh","eluru district","2897"
"himachal-pradesh","kullu district","2885"
"telangana","wanaparthy district","2880"
"gujarat","tapi district","2864"
"jammu-&-kashmir","pulwama district","2823"
"jharkhand","seraikela kharsawan district","2816"
"rajasthan","pratapgarh district","2795"
"chhattisgarh","jashpur district","2784"
"puducherry","karaikal district","2772"
"punjab","fatehgarh sahib district","2750"
"uttar-pradesh","hamirpur district","2744"
"madhya-pradesh","harda district","2712"
"odisha","malkangiri district","2692"
"tamil-nadu","perambalur district","2686"
"bihar","sheikhpura district","2675"
"telangana","peddapalli district","2660"
"telangana","warangal district","2653"
"karnataka","vijayanagara district","2620"
"madhya-pradesh","datia district","2599"
"ladakh","leh ladakh district","2598"
"assam","chirang district","2593"
"madhya-pradesh","panna district","2579"
"jharkhand","gumla district","2575"
"bihar","arwal district","2527"
"gujarat","devbhumi dwarka district","2524"
"jammu-&-kashmir","rajouri district","2514"
"mizoram","aizawl district","2493"
"gujarat","banaskantha district","2479"
"chhattisgarh","bemetara district","2472"
"punjab","moga district","2425"
"bihar","sheohar district","2424"
"jharkhand","sahebganj district","2404"
"sikkim","east district","2394"
"chhattisgarh","kabirdham district","2392"
"andhra-pradesh","palnadu district","2377"
"meghalaya","west garo hills district","2364"
"andhra-pradesh","annamayya district","2353"
"uttarakhand","chamoli district","2347"
"madhya-pradesh","dindori district","2344"
"madhya-pradesh","tikamgarh district","2334"
"tripura","gomati district","2333"
"madhya-pradesh","burhanpur district","2332"
"odisha","jajpur district","2326"
"himachal-pradesh","bilaspur district","2314"
"odisha","baleswar district","2304"
"tamil-nadu","thoothukudi district","2298"
"chhattisgarh","dantewada district","2286"
"odisha","nuapada district","2279"
"uttar-pradesh","chitrakoot district","2264"
"uttar-pradesh","mahoba district","2255"
"jharkhand","khunti district","2249"
"tripura","north tripura district","2244"
"rajasthan","jodhpur rural district","2190"
"jharkhand","lohardaga district","2183"
"jammu-&-kashmir","kupwara district","2182"
"tripura","south tripura district","2180"
"chhattisgarh","kondagaon district","2173"
"punjab","faridkot district","2119"
"telangana","mulugu district","2114"
"jammu-&-kashmir","reasi district","2111"
"andhra-pradesh","dr br ambedkar konaseema district","2085"
"rajasthan","neem ka thana district","2078"
"telangana","narayanpet district","2053"
"punjab","sri muktsar sahib district","2046"
"madhya-pradesh","umaria district","2035"
"madhya-pradesh","agar malwa district","2024"
"chhattisgarh","balrampur district","2007"
"tripura","sepahijala district","1995"
"gujarat","mahisagar district","1977"
"andhra-pradesh","bapatla district","1972"
"jharkhand","pakur district","1858"
"jharkhand","simdega district","1849"
"jammu-&-kashmir","doda district","1841"
"jharkhand","hazaribag district","1834"
"gujarat","botad district","1825"
"odisha","sonepur district","1820"
"madhya-pradesh","ashoknagar district","1806"
"andhra-pradesh","sri sathyasai district","1800"
"uttar-pradesh","raebareli district","1777"
"jharkhand","jamtara district","1768"
"chhattisgarh","gariyaband district","1738"
"uttarakhand","champawat district","1691"
"rajasthan","deedwana kuchaman district","1682"
"jammu-&-kashmir","poonch district","1680"
"haryana","nuh district","1669"
"uttarakhand","uttarkashi district","1657"
"maharashtra","dharashiv district","1641"
"tripura","dhalai district","1612"
"uttar-pradesh","bagpat district","1591"
"madhya-pradesh","alirajpur district","1571"
"odisha","boudh district","1563"
"jammu-&-kashmir","kulgam district","1560"
"madhya-pradesh","narmadapuram district","1544"
"karnataka","chamarajanagar district","1534"
"andhra-pradesh","nandyal district","1526"
"gujarat","narmada district","1469"
"chhattisgarh","mungeli district","1465"
"madhya-pradesh","sheopur district","1455"
"rajasthan","beawar district","1431"
"madhya-pradesh","niwari district","1427"
"punjab","barnala district","1410"
"karnataka","yadgiri district","1367"
"chhattisgarh","bijapur district","1362"
"assam","dima hasao district","1355"
"tripura","unakoti district","1335"
"uttarakhand","rudraprayag district","1329"
"tamil-nadu","tiruvarur district","1324"
"jammu-&-kashmir","ganderbal district","1312"
"uttar-pradesh","lakhimpur kheri district","1290"
"punjab","shahid bhagat singh nagar district","1285"
"uttar-pradesh","barabanki district","1281"
"chhattisgarh","sukma district","1280"
"telangana","mahabubnagar district","1280"
"jammu-&-kashmir","kishtwar district","1277"
"uttar-pradesh","shravasti district","1274"
"jammu-&-kashmir","shopian district","1269"
"rajasthan","balotra district","1241"
"tripura","khowai district","1237"
"west-bengal","kalimpong district","1236"
"andaman-&-nicobar-islands","north and middle andaman district","1217"
"gujarat","chhotaudepur district","1207"
"odisha","jagatsinghpur district","1203"
"uttarakhand","bageshwar district","1195"
"gujarat","panchmahals district","1183"
"tamil-nadu","mayiladuthurai district","1168"
"tamil-nadu","kallakurichi district","1147"
"manipur","imphal west district","1143"
"rajasthan","anupgarh district","1095"
"odisha","deogarh district","1060"
"jammu-&-kashmir","bandipore district","1055"
"gujarat","sabarkantha district","1025"
"madhya-pradesh","khandwa district","1021"
"arunachal-pradesh","west kameng district","1019"
"meghalaya","ribhoi district","1011"
"rajasthan","gangapur city district","989"
"jammu-&-kashmir","ramban district","980"
"chhattisgarh","balodabazar bhatapara district","972"
"assam","south salmara mancachar district","967"
"gujarat","dahod district","955"
"puducherry","mahe district","919"
"chhattisgarh","narayanpur district","890"
"assam","majuli district","851"
"rajasthan","sanchore district","844"
"uttar-pradesh","sant kabir nagar district","818"
"andhra-pradesh","parvathipuram manyam district","813"
"rajasthan","deeg district","796"
"chhattisgarh","north bastar kanker district","755"
"manipur","imphal east district","755"
"madhya-pradesh","maihar district","751"
"bihar","kaimur district","747"
"ladakh","kargil district","740"
"assam","morigaon district","718"
"arunachal-pradesh","tawang district","697"
"punjab","ferozepur district","692"
"arunachal-pradesh","east siang district","680"
"sikkim","south district","668"
"telangana","jayashankar bhupalpally district","662"
"jharkhand","sahibganj district","640"
"andhra-pradesh","alluri sitharama raju district","637"
"rajasthan","shahpura district","635"
"gujarat","aravalli district","631"
"himachal-pradesh","kinnaur district","617"
"arunachal-pradesh","changlang district","615"
"rajasthan","phalodi district","569"
"puducherry","yanam district","565"
"assam","west karbi anglong district","557"
"nagaland","kohima district","527"
"sikkim","gangtok district","517"
"rajasthan","kekri district","513"
"lakshadweep","lakshadweep district","496"
"andaman-&-nicobar-islands","nicobars district","492"
"meghalaya","east jaintia hills district","486"
"sikkim","west district","466"
"chhattisgarh","balrampur ramanujganj district","463"
"chhattisgarh","sakti district","461"
"arunachal-pradesh","itanagar capital complex district","458"
"arunachal-pradesh","lohit district","452"
"arunachal-pradesh","west siang district","444"
"meghalaya","east garo hills district","423"
"gujarat","the dangs district","423"
"chhattisgarh","manendragarh chirmiri bharatpur district","422"
"chhattisgarh","sarangarh bilaigarh district","408"
"rajasthan","dudu district","406"
"madhya-pradesh","pandhurna district","394"
"arunachal-pradesh","namsai district","390"
"rajasthan","salumber district","388"
"arunachal-pradesh","lower dibang valley district","388"
"chhattisgarh","gariaband district","377"
"odisha","subarnapur district","373"
"meghalaya","south garo hills district","373"
"arunachal-pradesh","tirap district","362"
"meghalaya","north garo hills district","350"
"madhya-pradesh","mauganj district","326"
"meghalaya","ri bhoi district","320"
"sikkim","north district","308"
"assam","south salmara mankachar district","307"
"nagaland","mokokchung district","300"
"mizoram","lunglei district","297"
"punjab","shaheed bhagat singh nagar district","287"
"meghalaya","south west garo hills district","281"
"manipur","kangpokpi district","275"
"manipur","thoubal district","267"
