"state","year","quarter","total_transactions","total_amount"
"jammu & kashmir",2024,1,"75116355","93960928941.0"
"jammu & kashmir",2024,2,"108179014","129061756911.0"
"jammu & kashmir",2024,3,"119555288","144470345977.0"
"jammu & kashmir",2024,4,"126261217","160950980732.0"
"jharkhand",2018,1,"2178921","2374186389.9194"
"jharkhand",2018,2,"3152080","4721575659.062912"
"jharkhand",2018,3,"8122621","8661571417.704563"
"jharkhand",2018,4,"6284043","10241916641.12223"
"jharkhand",2019,1,"9387708","13627236449.278034"
"jharkhand",2019,2,"10128211","18622701305.54623"
"jharkhand",2019,3,"14220647","21465973993.35938"
"jharkhand",2019,4,"18248618","28147748376.677704"
"jharkhand",2020,1,"18282713","33611232153.269115"
"jharkhand",2020,2,"20141511","37486201975.923416"
"jharkhand",2020,3,"27068473","50622615820.01348"
"jharkhand",2020,4,"39431633","72805174830.04245"
"jharkhand",2021,1,"44621663","83749353123.13824"
"jharkhand",2021,2,"54002145","104432643311.45735"
"jharkhand",2021,3,"70795702","121891015118.8533"
"jharkhand",2021,4,"96009042","166017119003.7058"
"jharkhand",2022,1,"110911210","194700207087.16907"
"jharkhand",2022,2,"132925275","225636227828.13763"
"jharkhand",2022,3,"146815332","229412884063.95636"
"jharkhand",2022,4,"175300092","277971737448.5812"
"jharkhand",2023,1,"240458103","367371336021.0"
"jharkhand",2023,2,"289233893","422214727508.0"
"jharkhand",2023,3,"318237426","418384424020.0"
"jharkhand",2023,4,"374538362","498720104925.0"
"jharkhand",2024,1,"426759095","559720237073.0"
"jharkhand",2024,2,"499685871","620115922491.0"
"jharkhand",2024,3,"522575883","609909540592.0"
"jharkhand",2024,4,"586904686","704010501034.0"
"karnataka",2018,1,"12016899","19217895314.012802"
"karnataka",2018,2,"17116447","33515580081.29709"
"karnataka",2018,3,"25980261","48225091755.80772"
"karnataka",2018,4,"44812071","73008386576.05942"
"karnataka",2019,1,"86587609","117976382145.74966"
"karnataka",2019,2,"115401604","163702024226.0841"
"karnataka",2019,3,"170733735","214536720438.18292"
"karnataka",2019,4,"237796252","295047143447.23846"
"karnataka",2020,1,"271033890","353402054999.4004"
"karnataka",2020,2,"213221712","321104877020.14185"
"karnataka",2020,3,"300360531","470740515696.6945"
"karnataka",2020,4,"431536984","658036698565.0032"
"karnataka",2021,1,"523797492","754995357412.3948"
"karnataka",2021,2,"530649046","837887151230.051"
"karnataka",2021,3,"753296539","1133234739157.5984"
"karnataka",2021,4,"931725438","1375471324349.8777"
"karnataka",2022,1,"1057855407","1566649488305.8838"
"karnataka",2022,2,"1277448960","1867146114059.2139"
"karnataka",2022,3,"1189761328","1665918232610.94"
"karnataka",2022,4,"1378910371","1904516622907.6313"
"karnataka",2023,1,"1844697189","2470227226317.0"
"karnataka",2023,2,"2067867526","2777599098830.0"
"karnataka",2023,3,"2369262302","2985880895587.0"
"karnataka",2023,4,"2564434164","3241376424383.0"
"karnataka",2024,1,"2796439155","3485248654506.0"
"karnataka",2024,2,"3042012848","3785034703438.0"
"karnataka",2024,3,"3261134095","3907202566484.0"
"karnataka",2024,4,"3455056424","4151819803822.0"
"kerala",2018,1,"1771380","2402674753.100502"
"kerala",2018,2,"2308165","3886923343.44263"
"kerala",2018,3,"3134348","5323025223.875498"
"kerala",2018,4,"4310654","7747361236.812299"
"kerala",2019,1,"6469039","10235031134.849785"
