"state","district","total_transactions","total_amount"
"haryana","charkhi dadri district","6166","10108615.0"
"assam","goalpara district","6154","9714089.0"
"madhya-pradesh","morena district","6144","8410898.0"
"uttar-pradesh","budaun district","6106","9336207.0"
"uttar-pradesh","amethi district","6069","10010020.0"
"gujarat","patan district","6058","7792789.0"
"bihar","banka district","6035","8792575.0"
"madhya-pradesh","hoshangabad district","6025","9296964.0"
"telangana","medak district","5921","7454080.0"
"rajasthan","jhalawar district","5913","7677630.0"
"chhattisgarh","bastar district","5907","9262010.0"
"assam","golaghat district","5891","10563731.0"
"madhya-pradesh","mandsaur district","5831","7472747.0"
"uttar-pradesh","chandauli district","5749","8574416.0"
"telangana","rajanna sircilla district","5748","6840164.0"
"madhya-pradesh","seoni district","5726","9512991.0"
"odisha","jagatsinghapur district","5667","6917256.0"
"uttar-pradesh","jalaun district","5658","9759053.0"
"gujarat","surendranagar district","5657","8103879.0"
"rajasthan","bundi district","5624","7911744.0"
"odisha","bargarh district","5607","7455426.0"
"telangana","mahabubabad district","5587","5830761.0"
"assam","kokrajhar district","5581","8068619.0"
"andhra-pradesh","sri potti sriramulu nellore district","5579","7676665.0"
"jharkhand","west singhbhum district","5576","8179792.0"
"gujarat","junagadh district","5567","8875699.0"
"karnataka","chamarajanagara district","5564","9016641.0"
"uttar-pradesh","ambedkar nagar district","5516","8498641.0"
"bihar","jamui district","5501","6795019.0"
"rajasthan","karauli district","5491","6955582.0"
"uttar-pradesh","kheri district","5463","8716314.0"
"madhya-pradesh","guna district","5443","6365923.0"
"telangana","warangal rural district","5393","5666354.0"
"himachal-pradesh","hamirpur district","5378","10393608.0"
"tamil-nadu","thiruvarur district","5377","7560068.0"
"uttar-pradesh","farrukhabad district","5343","9090230.0"
"chhattisgarh","surguja district","5340","9390164.0"
"assam","nalbari district","5277","7818771.0"
"madhya-pradesh","chhatarpur district","5270","8083259.0"
"gujarat","panch mahals district","5269","6613457.0"
"maharashtra","gadchiroli district","5238","8700411.0"
"assam","baksa district","5224","7903298.0"
"telangana","jangaon district","5209","6825312.0"
"karnataka","yadgir district","5194","6567521.0"
"punjab","sangrur district","5191","8775838.0"
"himachal-pradesh","sirmaur district","5190","9216530.0"
"andhra-pradesh","kakinada district","5174","7356591.0"
"assam","sivasagar district","5168","10347444.0"
"uttar-pradesh","bara banki district","5165","8379536.0"
"uttar-pradesh","bahraich district","5153","8560361.0"
"telangana","vikarabad district","5139","7385073.0"
"bihar","jehanabad district","5123","6106579.0"
"punjab","gurdaspur district","5108","10993600.0"
"uttar-pradesh","kanpur dehat district","5082","7782040.0"
"madhya-pradesh","sidhi district","5035","7298192.0"
"himachal-pradesh","mandi district","5022","10350470.0"
