"pincode","registered_users"
"452001","276072"
"411033","276031"
"201009","275685"
"110085","275085"
"411046","275050"
"410206","275019"
"502032","275017"
"455001","274876"
"482002","274815"
"110059","274593"
"123401","274345"
"124001","274341"
"517507","273955"
"560064","273886"
"492001","273586"
"505001","273576"
"500018","273534"
"457001","273527"
"302017","273466"
"110042","273110"
"506002","272675"
"122004","272545"
"302020","272359"
"121001","272333"
"110041","272303"
"410501","272167"
"800006","272017"
"302012","271971"
"800001","271953"
"143001","271907"
"302029","271894"
"500055","271404"
"411014","271372"
"462001","271089"
"244001","270738"
"560043","270730"
"560079","270655"
"500008","270516"
"560076","270449"
"301001","270375"
"421302","270275"
"560100","270219"
"500039","270128"
"141008","270095"
"263139","270006"
"497001","269624"
"431003","269570"
"382350","269520"
"211002","269413"
"517501","269370"
"396230","269152"
"395004","269061"
"394230","268765"
"500013","268682"
"122006","268387"
"495001","268341"
"334001","268334"
"515001","268309"
"480001","268275"
"122002","267850"
"302001","267759"
"421301","267613"
"845401","267457"
"110086","267186"
"250001","267154"
"263153","267136"
"302015","267121"
"530016","266985"
"121102","266955"
"452010","266938"
"395003","266807"
"560091","266790"
"560058","266718"
"110094","266143"
"502032","265962"
"560078","265627"
"263139","265522"
"247001","265421"
"313001","265014"
"121003","264861"
"800020","264853"
"517507","264456"
"400612","264454"
"110092","264380"
"500037","264160"
"302017","263717"
"394210","263596"
"560068","263531"
"518002","263336"
"202001","263278"
"452001","263235"
"560037","263129"
"506002","263096"
"110053","262977"
"248001","262855"
"457001","262675"
"263153","262637"
"124001","262578"
"123401","262455"
"395010","262287"
"834001","262227"
"455001","262081"
"122004","262041"
"394230","261921"
"110096","261791"
"201318","261291"
"121004","261230"
"482002","261115"
"500072","261019"
"311001","261008"
"201102","260999"
"462001","260836"
"721301","260807"
"492001","260351"
"516001","260257"
"500013","259941"
"395004","259784"
"382350","259674"
"495001","259634"
"201307","259579"
"421201","259489"
"110044","259476"
"395006","259468"
"141008","259310"
"302020","259218"
"395004","259097"
"122001","258880"
"411033","258524"
"411046","258494"
"396230","258320"
"515001","258235"
"302015","258169"
"110085","257921"
"800006","257919"
"500055","257896"
"500039","257830"
"530016","257668"
"560064","257630"
"263153","257362"
"301001","257331"
"482001","257031"
"845401","256921"
"395003","256903"
"302029","256592"
"395004","256567"
"641602","256556"
"244001","256505"
"334001","256340"
"517501","256290"
"505001","256261"
"500008","256260"
"263139","256097"
"500018","255966"
"480001","255887"
"452010","255626"
"302001","255437"
"263153","255142"
"122002","255084"
"122006","255061"
"502032","254815"
"302017","254674"
"800001","254577"
"560079","254553"
"560043","254510"
"411014","254412"
"396191","254170"
"201009","254167"
"110042","254105"
"211002","254063"
"121001","254045"
"560100","253914"
"518002","253903"
"517507","253314"
"457001","253258"
"431003","253190"
"121102","253094"
"721301","253066"
"302012","253003"
"313001","252805"
"110041","252304"
"560076","252246"
"496001","252162"
"462001","252027"
"800020","251896"
"506002","251886"
"516001","251394"
"500037","251090"
"421301","250903"
"452001","250461"
"250001","250431"
"382350","250285"
"123401","250221"
"201301","250205"
"124001","250178"
"395004","249980"
"122004","249924"
"560091","249839"
"495001","249785"
"515001","249655"
"410206","249631"
"560058","249624"
"202001","249614"
"500013","249027"
"110092","248727"
"455001","248656"
"110094","248570"
"530016","248401"
"247001","248285"
"482001","248021"
"394210","247983"
"121003","247955"
"395003","247906"
"560078","247869"
"141008","247825"
"492001","247599"
"395010","247597"
"560037","247595"
"263153","247537"
"143001","247481"
"400612","247336"
"302015","247217"
"641602","246961"
"482002","246911"
"845401","246901"
"410501","246816"
"263139","246707"
"302020","246589"
"480001","246574"
"110059","246566"
"845438","246484"
"110086","246312"
"396230","246264"
"248001","245790"
"500039","245702"
"491001","245572"
"110053","245562"
"395006","245129"
"110096","245046"
"834001","244918"
"496001","244806"
"396191","244687"
"800006","244496"
"518002","244371"
"301001","244138"
"311001","244096"
"201318","243997"
"452010","243950"
"302017","243904"
"800020","243821"
"517501","243791"
"334001","243611"
"201307","243576"
"500055","243565"
"302001","243317"
"502032","243213"
"421302","243170"
"457001","243148"
"411033","242613"
"122002","242575"
"462001","242442"
"516001","242054"
"500072","242007"
"411046","241933"
"382350","241927"
"474001","241767"
"517507","241720"
"244001","241620"
"141014","241415"
"485001","241380"
"110085","241334"
"560064","241325"
"495001","241101"
"122006","241050"
"500008","241011"
"110044","240937"
"505001","240644"
"395004","240529"
"530016","240480"
"500018","240435"
"313001","240292"
"515001","240176"
"201102","240152"
"302029","240131"
"506002","239974"
"247667","239868"
"121102","239809"
"122001","239679"
"121004","239658"
"380001","239497"
"800020","239192"
"800001","239180"
"411014","239079"
"263153","239018"
"482001","238911"
"395003","238544"
"500037","238487"
"560079","238441"
"263139","238409"
"452001","238296"
"516360","238191"
"382330","238171"
"800020","237898"
"560100","237850"
"211002","237827"
"500013","237793"
"516001","237781"
"124001","237736"
"421201","237605"
"491001","237603"
"385535","237595"
"845438","237551"
"121001","237542"
"123401","237454"
"560043","237440"
"560076","237431"
"641602","237429"
"173205","237366"
"560068","237280"
"110042","237271"
"122004","237160"
"480001","237094"
"431003","236990"
"518002","236199"
"396230","236144"
"141014","235865"
"455001","235768"
"302015","235747"
"141008","235576"
"845401","235479"
"202001","235384"
"396191","235193"
"421301","234225"
"492001","234198"
"560078","234102"
"382415","234088"
"500039","233903"
"201009","233893"
"516001","233874"
"250001","233826"
"247667","233764"
"462001","233726"
"396230","233674"
"302012","233663"
"380001","233611"
"382330","233501"
"457001","233495"
"302020","233202"
"474001","233063"
"382350","232887"
"485001","232622"
"302017","232516"
"560037","232436"
"560091","232398"
"560058","232252"
"452010","232223"
"530016","231775"
"395004","231760"
"395010","231725"
"502032","231698"
"110041","231602"
"482002","231582"
"515001","231542"
"301001","231537"
"302001","231535"
"394210","231353"
"334001","231262"
"247001","231243"
"482001","231205"
"121003","230786"
"517501","230688"
"800006","230673"
"495001","230659"
"400612","230486"
"248001","230378"
"110094","230259"
"516001","230123"
"395006","230047"
"396230","230006"
"517507","229983"
"263153","229961"
"395003","229820"
"516360","229802"
"385535","229745"
"122002","229524"
"263139","229504"
"834001","229343"
"410206","228984"
"480001","228883"
"641602","228811"
"395002","228662"
"110096","228635"
"110092","228546"
"201318","228468"
"500055","228448"
"506002","228268"
"313001","228203"
"173205","228150"
"845438","227990"
"410501","227567"
"201307","227351"
"518002","227292"
"311001","227209"
"411046","227047"
"800020","226982"
"396191","226937"
"110053","226890"
"110086","226703"
"500013","226654"
"560064","226588"
"411033","226460"
"395003","226399"
"122006","226097"
"800001","226061"
"110085","225882"
"500008","225800"
"244001","225790"
"560076","225754"
"173205","225743"
"124001","225735"
"635109","225667"
"121102","225645"
"452001","225433"
"500037","225355"
"382415","225294"
"516001","225126"
"123401","225100"
"382350","224592"
"505001","224585"
"122004","224546"
"302015","224395"
"518002","224333"
"474001","224169"
"500018","223960"
"143001","223933"
"302029","223910"
"395002","223899"
"560079","223844"
"530016","223726"
"395003","223701"
"485001","223650"
"462001","223606"
"845401","223461"
"411014","223378"
"560100","223235"
"110044","223161"
"141008","223136"
"457001","223077"
"482001","222664"
"431003","222366"
"455001","222066"
"395004","221859"
"211002","221839"
"385535","221728"
"800007","221544"
"500039","221494"
"302017","221344"
"515001","221328"
"524002","221215"
"500072","221180"
"263139","221113"
"263153","221090"
"121001","221002"
"396230","220980"
"516360","220919"
"452010","220888"
"502032","220570"
"121004","220431"
"202001","220275"
"641602","220199"
"480001","220177"
"560037","220131"
"173205","220115"
"845438","220063"
"395003","219947"
"110042","219941"
"495001","219881"
"421201","219871"
"492001","219691"
"421301","219310"
"302001","219208"
"518002","219100"
"250001","218966"
"560043","218963"
"302020","218927"
"517507","218905"
"173205","218904"
"826001","218699"
"301001","218321"
"560078","218317"
"396191","218210"
"334001","218086"
"122001","217913"
"302012","217583"
"635109","217442"
"201102","217344"
"516001","217104"
"506002","217091"
"421302","217009"
"382415","216982"
"382345","216912"
"518002","216907"
"201009","216851"
"517501","216777"
"474001","216725"
"482002","216522"
"500013","215918"
"800006","215907"
"247001","215857"
"395010","215717"
"485001","215698"
"122002","215608"
"313001","215569"
"600100","215351"
"400612","215326"
"482001","215070"
"560058","215047"
"382350","214911"
"530026","214840"
"800007","214781"
"394210","214776"
"560091","214608"
"800020","214343"
"395006","214322"
"248001","214162"
"530016","214155"
"121003","214022"
"826001","213687"
"110096","213595"
"524002","213525"
"385535","213487"
"500055","213471"
"302015","213355"
"516360","213165"
"124001","213051"
"834001","213049"
"462001","212978"
"410501","212525"
"457001","212433"
"122004","212387"
"311001","212281"
"602105","212187"
"826001","212114"
"201307","212086"
"123401","212046"
"201318","212043"
"500008","211989"
"110041","211987"
"497001","211871"
"110085","211869"
"480001","211859"
"263139","211843"
"560076","211683"
"641602","211679"
"452001","211664"
"560100","211500"
"411046","211381"
"395004","211361"
"500037","211348"
"141008","211333"
"845438","211285"
"122006","211281"
"845401","211280"
"263153","211157"
"843302","211048"
"560064","211036"
"515001","210661"
"121102","210637"
"173205","210542"
"110094","210508"
