"state","district","total_registrations"
"chhattisgarh","dantewada district","1365097"
"meghalaya","west garo hills district","1355535"
"assam","charaideo district","1343998"
"haryana","nuh district","1333736"
"assam","chirang district","1283967"
"tripura","gomati district","1282393"
"odisha","angul district","1278151"
"uttarakhand","champawat district","1233121"
"uttar-pradesh","raebareli district","1198211"
"odisha","deogarh district","1192199"
"karnataka","vijayanagara district","1181244"
"madhya-pradesh","narmadapuram district","1145333"
"telangana","warangal district","1145122"
"uttarakhand","rudraprayag district","1139241"
"jharkhand","khunti district","1136721"
"jammu-&-kashmir","kulgam district","1132961"
"nagaland","kohima district","1128265"
"tripura","dhalai district","1109998"
"rajasthan","deeg district","1107661"
"chhattisgarh","bijapur district","1102555"
"telangana","mahabubnagar district","1093946"
"tamil-nadu","thoothukudi district","1077786"
"west-bengal","kalimpong district","1068527"
"uttarakhand","bageshwar district","1040474"
"puducherry","karaikal district","1035188"
"gujarat","sabarkantha district","1034027"
"jammu-&-kashmir","poonch district","1030186"
"rajasthan","beawar district","1009172"
"odisha","jagatsinghpur district","1003916"
"rajasthan","neem ka thana district","999537"
"jharkhand","simdega district","999489"
"jammu-&-kashmir","reasi district","989949"
"uttar-pradesh","bagpat district","938439"
"manipur","thoubal district","937207"
"madhya-pradesh","khandwa district","935467"
"chhattisgarh","sukma district","934650"
"kerala","kasargod district","929795"
"jammu-&-kashmir","doda district","926000"
"gujarat","panchmahals district","915798"
"telangana","peddapalli district","910666"
"rajasthan","balotra district","904193"
"jammu-&-kashmir","bandipore district","887289"
"sikkim","south district","878289"
"gujarat","dahod district","874811"
"tripura","khowai district","862002"
"tamil-nadu","kallakurichi district","839231"
"bihar","kaimur district","831981"
"uttar-pradesh","sant kabir nagar district","826267"
"manipur","bishnupur district","821501"
"karnataka","yadgiri district","808893"
"assam","dima hasao district","801087"
"jharkhand","seraikela kharsawan district","794180"
"tripura","unakoti district","778146"
"jammu-&-kashmir","ganderbal district","768002"
"assam","south salmara mancachar district","765970"
"rajasthan","anupgarh district","746971"
"karnataka","chamarajanagar district","717204"
"chhattisgarh","balodabazar bhatapara district","708702"
"manipur","churachandpur district","702668"
"arunachal-pradesh","west kameng district","671219"
"rajasthan","gangapur city district","664879"
"jammu-&-kashmir","shopian district","653890"
"himachal-pradesh","kinnaur district","653690"
"rajasthan","phalodi district","637620"
"gujarat","aravalli district","637409"
"jammu-&-kashmir","ramban district","624348"
"arunachal-pradesh","changlang district","622210"
"arunachal-pradesh","east siang district","614391"
"andhra-pradesh","parvathipuram manyam district","610049"
"assam","morigaon district","602461"
"punjab","ferozepur district","602127"
"andhra-pradesh","alluri sitharama raju district","595469"
"rajasthan","shahpura district","589172"
"rajasthan","sanchore district","583896"
"jharkhand","sahibganj district","569053"
"tamil-nadu","tiruvarur district","564023"
"sikkim","west district","545124"
"chhattisgarh","narayanpur district","543585"
"manipur","kangpokpi district","543126"
"ladakh","kargil district","525276"
"chhattisgarh","sakti district","508402"
"meghalaya","ribhoi district","501505"
"rajasthan","kekri district","494370"
"chhattisgarh","north bastar kanker district","492607"
"madhya-pradesh","maihar district","486568"
