"state","district","registered_users"
"odisha","gajapati district","80263"
"jammu-&-kashmir","pulwama district","80258"
"odisha","malkangiri district","80251"
"tripura","south tripura district","80248"
"tamil-nadu","the nilgiris district","80235"
"gujarat","kheda district","80213"
"chhattisgarh","kabirdham district","80175"
"gujarat","surendranagar district","80167"
"uttar-pradesh","sambhal district","80158"
"jharkhand","lohardaga district","80150"
"gujarat","valsad district","80138"
"andaman-&-nicobar-islands","south andaman district","80112"
"haryana","kurukshetra district","80097"
"madhya-pradesh","narsinghpur district","80034"
"tamil-nadu","ramanathapuram district","80027"
"maharashtra","jalna district","80013"
"jharkhand","dumka district","80010"
"punjab","jalandhar district","79991"
"telangana","narayanpet district","79975"
"assam","nalbari district","79951"
"uttarakhand","nainital district","79936"
"odisha","sambalpur district","79932"
"chhattisgarh","surajpur district","79907"
"punjab","firozepur district","79879"
"uttar-pradesh","bahraich district","79858"
"odisha","nabarangpur district","79855"
"odisha","bargarh district","79840"
"jammu-&-kashmir","rajouri district","79836"
"madhya-pradesh","niwari district","79831"
"punjab","tarn taran district","79790"
"gujarat","gir somnath district","79786"
"assam","charaideo district","79777"
"uttar-pradesh","etawah district","79764"
"uttar-pradesh","unnao district","79758"
"madhya-pradesh","sheopur district","79747"
"tripura","west tripura district","79732"
"chhattisgarh","jashpur district","79728"
"manipur","imphal west district","79723"
"rajasthan","sirohi district","79721"
"chhattisgarh","balrampur district","79703"
"tamil-nadu","sivaganga district","79695"
"gujarat","amreli district","79690"
"haryana","sonipat district","79638"
"tamil-nadu","tenkasi district","79619"
"chhattisgarh","balod district","79582"
"madhya-pradesh","katni district","79580"
"jharkhand","gumla district","79572"
"uttar-pradesh","sitapur district","79560"
"jammu-&-kashmir","ganderbal district","79523"
"karnataka","yadgir district","79499"
"telangana","siddipet district","79491"
"tripura","dhalai district","79489"
"chhattisgarh","dhamtari district","79474"
"uttarakhand","champawat district","79459"
"meghalaya","west garo hills district","79443"
"telangana","kumuram bheem asifabad district","79379"
"uttar-pradesh","baghpat district","79331"
"assam","nagaon district","79322"
"chhattisgarh","bijapur district","79313"
"uttar-pradesh","budaun district","79306"
"punjab","barnala district","79294"
"punjab","pathankot district","79266"
"uttar-pradesh","shravasti district","79245"
"uttar-pradesh","balrampur district","79242"
"rajasthan","chittorgarh district","79200"
"telangana","adilabad district","79186"
"uttar-pradesh","kaushambi district","79177"
"chhattisgarh","surguja district","79170"
"karnataka","bidar district","79155"
"telangana","medak district","79145"
"madhya-pradesh","alirajpur district","79103"
"nagaland","dimapur district","79061"
"uttar-pradesh","mahoba district","79027"
"uttar-pradesh","jaunpur district","78930"
"jammu-&-kashmir","kupwara district","78894"
"madhya-pradesh","bhind district","78871"
"chhattisgarh","bastar district","78865"
"jharkhand","hazaribagh district","78856"
"uttarakhand","chamoli district","78848"
"bihar","sheohar district","78832"
"assam","udalguri district","78818"
"maharashtra","yavatmal district","78775"
"jharkhand","ramgarh district","78772"
"ladakh","leh ladakh district","78769"
"assam","jorhat district","78731"
"karnataka","chikkaballapura district","78717"
"jammu-&-kashmir","kathua district","78693"
"madhya-pradesh","chhatarpur district","78677"
"punjab","faridkot district","78676"
"himachal-pradesh","bilaspur district","78663"
"madhya-pradesh","raisen district","78648"
"madhya-pradesh","damoh district","78642"
"chhattisgarh","dantewada district","78612"
"jharkhand","latehar district","78586"
"rajasthan","rajsamand district","78583"
"rajasthan","dholpur district","78552"
"assam","karbi anglong district","78533"
"uttarakhand","uttarkashi district","78484"
"jammu-&-kashmir","srinagar district","78458"
"meghalaya","east khasi hills district","78429"
"himachal-pradesh","una district","78363"
"madhya-pradesh","jhabua district","78359"
"jammu-&-kashmir","udhampur district","78353"
"uttar-pradesh","hapur district","78340"
"tamil-nadu","perambalur district","78324"
"chhattisgarh","rajnandgaon district","78320"
"jammu-&-kashmir","budgam district","78298"
"west-bengal","kalimpong district","78277"
"bihar","araria district","78248"
"uttar-pradesh","rampur district","78177"
"west-bengal","jalpaiguri district","78152"
"bihar","aurangabad district","78109"
"jammu-&-kashmir","samba district","78092"
"maharashtra","washim district","78091"
"tamil-nadu","karur district","78089"
"tripura","north tripura district","78079"
"uttarakhand","pithoragarh district","78079"
"gujarat","porbandar district","78063"
"uttarakhand","champawat district","78056"
"mizoram","aizawl district","78038"
"sikkim","east district","78018"
"himachal-pradesh","sirmaur district","77972"
"gujarat","morbi district","77961"
"madhya-pradesh","mandla district","77954"
"bihar","gopalganj district","77944"
"arunachal-pradesh","papum pare district","77936"
"odisha","boudh district","77892"
"karnataka","chikkamagaluru district","77854"
"chhattisgarh","kondagaon district","77846"
"nagaland","kohima district","77834"
"chhattisgarh","janjgir champa district","77834"
"tripura","gomati district","77781"
"gujarat","chhotaudepur district","77777"
"karnataka","chitradurga district","77743"
"punjab","shahid bhagat singh nagar district","77630"
"telangana","kamareddy district","77613"
"himachal-pradesh","chamba district","77599"
"assam","dima hasao district","77541"
"uttar-pradesh","moradabad district","77532"
"telangana","nizamabad district","77516"
"bihar","nawada district","77511"
"jharkhand","palamu district","77478"
"jharkhand","chatra district","77456"
"tamil-nadu","erode district","77385"
"uttar-pradesh","rae bareli district","77379"
"maharashtra","nandurbar district","77352"
"jharkhand","west singhbhum district","77335"
"kerala","kottayam district","77331"
"tamil-nadu","vellore district","77325"
"bihar","sheikhpura district","77323"
"gujarat","narmada district","77313"
"jharkhand","godda district","77305"
"haryana","yamunanagar district","77303"
"jammu-&-kashmir","pulwama district","77212"
"chhattisgarh","gariyaband district","77202"
"odisha","kandhamal district","77202"
"kerala","kollam district","77192"
"tamil-nadu","tiruvannamalai district","77186"
"uttar-pradesh","amroha district","77180"
"odisha","nuapada district","77158"
"assam","hailakandi district","77112"
"andaman-&-nicobar-islands","south andaman district","77052"
"gujarat","devbhumi dwarka district","76991"
"madhya-pradesh","anuppur district","76969"
"assam","tinsukia district","76944"
"uttar-pradesh","chitrakoot district","76935"
"madhya-pradesh","shajapur district","76924"
"jammu-&-kashmir","ganderbal district","76917"
"bihar","kaimur bhabua district","76908"
"tripura","sepahijala district","76900"
"uttar-pradesh","pilibhit district","76898"
"odisha","anugul district","76885"
"madhya-pradesh","dindori district","76885"
"madhya-pradesh","umaria district","76879"
"jharkhand","pakur district","76800"
"assam","darrang district","76790"
"maharashtra","akola district","76778"
"uttar-pradesh","muzaffarnagar district","76722"
"telangana","bhadradri kothagudem district","76720"
"assam","biswanath district","76698"
"assam","kokrajhar district","76692"
"jharkhand","lohardaga district","76680"
"tripura","south tripura district","76631"
"kerala","idukki district","76609"
"west-bengal","alipurduar district","76597"
"madhya-pradesh","vidisha district","76590"
"bihar","arwal district","76552"
"uttarakhand","champawat district","76540"
"assam","cachar district","76533"
"manipur","imphal east district","76421"
"madhya-pradesh","harda district","76370"
"telangana","mancherial district","76358"
"telangana","mulugu district","76355"
"rajasthan","dungarpur district","76324"
"jharkhand","garhwa district","76320"
"assam","sivasagar district","76308"
"tamil-nadu","pudukkottai district","76291"
"assam","dhubri district","76285"
"bihar","siwan district","76259"
"jammu-&-kashmir","rajouri district","76256"
"puducherry","karaikal district","76256"
"uttar-pradesh","shravasti district","76201"
"goa","north goa district","76192"
"uttar-pradesh","pratapgarh district","76177"
"assam","charaideo district","76164"
"madhya-pradesh","niwari district","76105"
"bihar","samastipur district","76068"
"bihar","bhagalpur district","76063"
"telangana","jagtial district","76056"
"gujarat","tapi district","76018"
"telangana","jogulamba gadwal district","76012"
"uttarakhand","champawat district","76009"
"uttarakhand","tehri garhwal district","75996"
"telangana","jaya shankar bhalupally district","75975"
"madhya-pradesh","tikamgarh district","75937"
"gujarat","navsari district","75930"
"meghalaya","west garo hills district","75911"
"odisha","deogarh district","75882"
"bihar","madhepura district","75876"
"madhya-pradesh","east nimar district","75806"
"west-bengal","kalimpong district","75761"
"uttar-pradesh","lalitpur district","75748"
"jharkhand","koderma district","75718"
"rajasthan","dausa district","75701"
"telangana","jangaon district","75697"
"chhattisgarh","dantewada district","75691"
"chhattisgarh","mungeli district","75644"
"jammu-&-kashmir","anantnag district","75622"
"assam","goalpara district","75578"
"tamil-nadu","ranipet district","75577"
"maharashtra","beed district","75552"
"haryana","bhiwani district","75485"
"west-bengal","jhargram district","75434"
"chhattisgarh","bemetara district","75434"
"rajasthan","jhalawar district","75398"
"uttarakhand","uttarkashi district","75369"
"madhya-pradesh","alirajpur district","75360"
"uttar-pradesh","banda district","75355"
"odisha","sonepur district","75331"
"assam","hojai district","75318"
"maharashtra","parbhani district","75309"
"nagaland","kohima district","75287"
"tamil-nadu","nagapattinam district","75279"
"tamil-nadu","thiruvarur district","75272"
"bihar","nalanda district","75201"
"odisha","sundargarh district","75201"
"uttar-pradesh","etah district","75177"
"assam","kamrup district","75174"
"punjab","gurdaspur district","75170"
"odisha","malkangiri district","75114"
"haryana","fatehabad district","75108"
"madhya-pradesh","agar malwa district","75042"
"ladakh","leh ladakh district","75042"
"west-bengal","uttar dinajpur district","75017"
"madhya-pradesh","morena district","75004"
"assam","lakhimpur district","74990"
"mizoram","aizawl district","74977"
"telangana","rajanna sircilla district","74849"
"tripura","north tripura district","74840"
"assam","chirang district","74768"
"haryana","panipat district","74739"
"uttar-pradesh","siddharthnagar district","74730"
"assam","bongaigaon district","74693"
"assam","marigaon district","74680"
"himachal-pradesh","kullu district","74668"
"rajasthan","pratapgarh district","74664"
"assam","baksa district","74652"
"gujarat","sabar kantha district","74642"
"odisha","gajapati district","74629"
"uttar-pradesh","jhansi district","74623"
"assam","golaghat district","74590"
"telangana","mahbubnagar district","74581"
"haryana","mahendragarh district","74545"
"assam","dima hasao district","74539"
"haryana","charkhi dadri district","74479"
"uttar-pradesh","mainpuri district","74458"
"maharashtra","gadchiroli district","74415"
"bihar","darbhanga district","74414"
"telangana","nagarkurnool district","74363"
"punjab","sri muktsar sahib district","74361"
"goa","south goa district","74349"
"assam","dibrugarh district","74342"
"bihar","purnia district","74326"
"uttar-pradesh","kanpur dehat district","74296"
"tripura","gomati district","74242"
"jammu-&-kashmir","samba district","74186"
"jharkhand","gumla district","74184"
"west-bengal","darjiling district","74155"
"bihar","kishanganj district","74150"
"jammu-&-kashmir","kupwara district","74136"
"assam","dhemaji district","74111"
"uttar-pradesh","maharajganj district","74108"
"punjab","mansa district","74105"
"jammu-&-kashmir","pulwama district","74016"
"puducherry","karaikal district","73963"
"telangana","wanaparthy district","73946"
"himachal-pradesh","hamirpur district","73945"
"assam","karimganj district","73939"
"chhattisgarh","balrampur district","73826"
"uttar-pradesh","saharanpur district","73819"
"nagaland","kohima district","73786"
"punjab","fazilka district","73785"
"madhya-pradesh","sheopur district","73775"
"bihar","sheohar district","73732"
"assam","sonitpur district","73717"
"andaman-&-nicobar-islands","south andaman district","73692"
"madhya-pradesh","panna district","73675"
"assam","nalbari district","73631"
"assam","karbi anglong district","73615"
"haryana","karnal district","73612"
"madhya-pradesh","mandsaur district","73577"
"uttar-pradesh","sonbhadra district","73554"
"assam","udalguri district","73549"
"jammu-&-kashmir","udhampur district","73525"
"chhattisgarh","baloda bazar district","73454"
"punjab","barnala district","73443"
"uttarakhand","chamoli district","73432"
"west-bengal","purulia district","73427"
"odisha","kalahandi district","73404"
"uttarakhand","pauri garhwal district","73363"
"haryana","ambala district","73358"
"madhya-pradesh","rewa district","73336"
"karnataka","hassan district","73330"
"karnataka","kodagu district","73300"
"himachal-pradesh","bilaspur district","73296"
"jammu-&-kashmir","kathua district","73280"
"odisha","jharsuguda district","73264"
"madhya-pradesh","shivpuri district","73259"
"tamil-nadu","kallakkurichi district","73253"
"tripura","sepahijala district","73240"
"assam","charaideo district","73222"
"uttar-pradesh","firozabad district","73219"
"uttar-pradesh","kasganj district","73208"
"uttarakhand","champawat district","73193"
"gujarat","mahisagar district","73191"
"rajasthan","jaisalmer district","73182"
"madhya-pradesh","singrauli district","73175"
"jammu-&-kashmir","baramulla district","73162"
"jharkhand","lohardaga district","73158"
"gujarat","narmada district","73152"
"kerala","kasaragod district","73129"
"tripura","south tripura district","73117"
"jharkhand","jamtara district","73046"
"jharkhand","sahebganj district","73039"
"kerala","pathanamthitta district","73032"
"meghalaya","west garo hills district","73025"
"gujarat","aravallis district","73003"
"uttar-pradesh","kheri district","72988"
"himachal-pradesh","mandi district","72963"
"odisha","deogarh district","72961"
"jammu-&-kashmir","rajouri district","72921"
"madhya-pradesh","neemuch district","72918"
"punjab","rupnagar district","72909"
"rajasthan","banswara district","72904"
"madhya-pradesh","khargone district","72892"
"madhya-pradesh","sagar district","72857"
"uttarakhand","almora district","72829"
"bihar","jehanabad district","72795"
"chhattisgarh","kondagaon district","72791"
"madhya-pradesh","niwari district","72766"
"bihar","bhojpur district","72766"
"jammu-&-kashmir","budgam district","72750"
"bihar","banka district","72748"
"bihar","saharsa district","72745"
"odisha","boudh district","72717"
"uttar-pradesh","mirzapur district","72693"
"meghalaya","east khasi hills district","72639"
"maharashtra","hingoli district","72615"
"chhattisgarh","dantewada district","72600"
"tamil-nadu","madurai district","72582"
"uttarakhand","pithoragarh district","72579"
"punjab","shahid bhagat singh nagar district","72568"
"uttar-pradesh","bijnor district","72561"
"uttar-pradesh","kannauj district","72533"
"tamil-nadu","namakkal district","72500"
"jharkhand","pakur district","72474"
"dadra-&-nagar-haveli-&-daman-&-diu","daman district","72470"
"uttar-pradesh","farrukhabad district","72462"
"bihar","lakhisarai district","72450"
"uttar-pradesh","sant kabeer nagar district","72429"
"punjab","fatehgarh sahib district","72422"
"rajasthan","sawai madhopur district","72393"
"kerala","kannur district","72388"
"telangana","nirmal district","72367"
"assam","biswanath district","72362"
"nagaland","chumoukedima district","72338"
"uttar-pradesh","shravasti district","72312"
"odisha","rayagada district","72305"
"jharkhand","latehar district","72198"
"madhya-pradesh","barwani district","72187"
"gujarat","botad district","72181"
"tamil-nadu","kanniyakumari district","72179"
"gujarat","porbandar district","72172"
"assam","hailakandi district","72136"
"punjab","hoshiarpur district","72128"
"himachal-pradesh","chamba district","72124"
"uttar-pradesh","hamirpur district","72081"
"gujarat","chhotaudepur district","72071"
"chhattisgarh","mahasamund district","72039"
"bihar","sheikhpura district","72003"
"mizoram","aizawl district","71979"
"madhya-pradesh","alirajpur district","71948"
"assam","chirang district","71942"
"punjab","kapurthala district","71914"
"uttarakhand","rudraprayag district","71901"
"chhattisgarh","gariyaband district","71885"
"tamil-nadu","theni district","71870"
"uttar-pradesh","fatehpur district","71857"
"uttar-pradesh","auraiya district","71776"
"kerala","wayanad district","71761"
"haryana","jhajjar district","71713"
"madhya-pradesh","datia district","71709"
"tamil-nadu","virudhunagar district","71704"
"karnataka","chamarajanagara district","71698"
"chhattisgarh","korea district","71660"
"uttarakhand","uttarkashi district","71641"
"tripura","north tripura district","71616"
"bihar","munger district","71593"
"odisha","nuapada district","71558"
"chhattisgarh","kanker district","71514"
"himachal-pradesh","kangra district","71494"
"manipur","imphal east district","71436"
"madhya-pradesh","shahdol district","71433"
"haryana","mewat district","71400"
"uttar-pradesh","ayodhya district","71398"
"odisha","mayurbhanj district","71366"
"west-bengal","dakshin dinajpur district","71362"
"uttar-pradesh","mahoba district","71317"
"kerala","palakkad district","71303"
"karnataka","mandya district","71274"
"tripura","gomati district","71255"
"haryana","panchkula district","71245"
"maharashtra","osmanabad district","71243"
"telangana","yadadri bhuvanagiri district","71205"
"ladakh","leh ladakh district","71173"
"uttar-pradesh","hathras district","71141"
"telangana","warangal rural district","71132"
"assam","kokrajhar district","71086"
"chhattisgarh","surguja district","71076"
"telangana","mulugu district","71073"
"kerala","alappuzha district","71052"
"madhya-pradesh","umaria district","71049"
"bihar","arwal district","71027"
"assam","darrang district","71026"
"uttar-pradesh","shamli district","71012"
"nagaland","kohima district","70998"
"chhattisgarh","raigarh district","70970"
"punjab","bathinda district","70948"
"jharkhand","khunti district","70925"
"uttar-pradesh","chitrakoot district","70900"
"bihar","supaul district","70883"
"odisha","nabarangpur district","70877"
"jammu-&-kashmir","pulwama district","70875"
"madhya-pradesh","damoh district","70868"
"madhya-pradesh","burhanpur district","70827"
"assam","jorhat district","70809"
"haryana","sirsa district","70800"
"assam","sivasagar district","70764"
"jammu-&-kashmir","srinagar district","70755"
"tamil-nadu","tirunelveli district","70740"
"madhya-pradesh","sidhi district","70641"
"jammu-&-kashmir","anantnag district","70633"
"uttar-pradesh","sambhal district","70632"
"tripura","dhalai district","70600"
"chhattisgarh","kabirdham district","70568"
"chhattisgarh","mungeli district","70557"
"tamil-nadu","ariyalur district","70530"
"bihar","jamui district","70521"
"madhya-pradesh","dindori district","70483"
"andaman-&-nicobar-islands","south andaman district","70445"
"telangana","kumuram bheem asifabad district","70431"
"punjab","firozepur district","70387"
"uttarakhand","champawat district","70373"
"madhya-pradesh","rajgarh district","70348"
"jammu-&-kashmir","samba district","70288"
"tripura","sepahijala district","70255"
"punjab","faridkot district","70252"
"jammu-&-kashmir","rajouri district","70231"
"maharashtra","sindhudurg district","70229"
"uttar-pradesh","basti district","70203"
"gujarat","junagadh district","70174"
"odisha","koraput district","70168"
"chhattisgarh","surajpur district","70166"
"bihar","khagaria district","70139"
"tamil-nadu","thanjavur district","70116"
"tripura","south tripura district","70107"
"uttar-pradesh","mathura district","70100"
"rajasthan","bundi district","70036"
"assam","charaideo district","70025"
"telangana","narayanpet district","69951"
"meghalaya","west garo hills district","69925"
"odisha","puri district","69923"
"gujarat","gir somnath district","69872"
"jharkhand","dumka district","69852"
"punjab","pathankot district","69833"
"dadra-&-nagar-haveli-&-daman-&-diu","dadra and nagar haveli district","69833"
"sikkim","east district","69829"
"rajasthan","tonk district","69812"
"madhya-pradesh","ashoknagar district","69791"
"tamil-nadu","sivaganga district","69744"
"chhattisgarh","bijapur district","69735"
"uttar-pradesh","chandauli district","69703"
"jharkhand","lohardaga district","69683"
"odisha","malkangiri district","69669"
"madhya-pradesh","anuppur district","69666"
"chhattisgarh","bastar district","69623"
"rajasthan","baran district","69618"
"gujarat","dohad district","69618"
"gujarat","devbhumi dwarka district","69591"
"himachal-pradesh","sirmaur district","69583"
"odisha","deogarh district","69566"
"chhattisgarh","dantewada district","69509"
"chhattisgarh","jashpur district","69500"
"rajasthan","dholpur district","69500"
"chhattisgarh","dhamtari district","69476"
"telangana","suryapet district","69474"
"nagaland","chumoukedima district","69452"
"assam","hojai district","69441"
"arunachal-pradesh","papum pare district","69419"
"punjab","moga district","69394"
"tamil-nadu","the nilgiris district","69335"
"uttar-pradesh","jalaun district","69284"
"uttarakhand","rudraprayag district","69176"
"odisha","gajapati district","69150"
"odisha","kandhamal district","69124"
"jammu-&-kashmir","kupwara district","69102"
"odisha","jagatsinghapur district","69081"
"tamil-nadu","karur district","69047"
"madhya-pradesh","alirajpur district","69009"
"assam","baksa district","69004"
"assam","tinsukia district","68999"
"uttar-pradesh","balrampur district","68993"
"gujarat","patan district","68979"
"uttar-pradesh","azamgarh district","68976"
"himachal-pradesh","solan district","68950"
"tamil-nadu","ramanathapuram district","68938"
"mizoram","aizawl district","68925"
"madhya-pradesh","niwari district","68906"
"jharkhand","godda district","68844"
"madhya-pradesh","mandla district","68825"
"karnataka","vijayapura district","68814"
"chhattisgarh","korba district","68746"
"assam","dhemaji district","68744"
"chhattisgarh","balod district","68724"
"chhattisgarh","bilaspur district","68704"
"telangana","adilabad district","68686"
"maharashtra","bhandara district","68672"
"haryana","jind district","68635"
"puducherry","puducherry district","68634"
"assam","chirang district","68633"
"uttar-pradesh","bahraich district","68614"
"jharkhand","saraikela kharsawan district","68611"
"bihar","sheohar district","68582"
"gujarat","narmada district","68577"
"himachal-pradesh","una district","68564"
"tamil-nadu","tenkasi district","68561"
"jharkhand","west singhbhum district","68537"
"jharkhand","khunti district","68528"
"tamil-nadu","perambalur district","68517"
"gujarat","jamnagar district","68512"
"odisha","sonepur district","68480"
"jammu-&-kashmir","udhampur district","68452"
"jharkhand","gumla district","68433"
"rajasthan","bharatpur district","68429"
"haryana","kaithal district","68422"
"uttarakhand","bageshwar district","68366"
"tripura","north tripura district","68352"
"tamil-nadu","dindigul district","68304"
"assam","nalbari district","68299"
"tripura","gomati district","68250"
"assam","karbi anglong district","68242"
"assam","marigaon district","68225"
"west-bengal","kalimpong district","68216"
"uttar-pradesh","shravasti district","68179"
"karnataka","davanagere district","68178"
"uttar-pradesh","sultanpur district","68140"
"gujarat","panch mahals district","68139"
"madhya-pradesh","balaghat district","68079"
"chhattisgarh","balrampur district","68062"
"gujarat","anand district","68052"
"assam","udalguri district","68048"
"nagaland","kohima district","68041"
"jammu-&-kashmir","pulwama district","68004"
"uttar-pradesh","shahjahanpur district","68001"
"madhya-pradesh","hoshangabad district","67994"
"bihar","vaishali district","67921"
"jammu-&-kashmir","budgam district","67920"
"jharkhand","koderma district","67920"
"manipur","imphal west district","67897"
"madhya-pradesh","sheopur district","67867"
"tamil-nadu","thoothukkudi district","67862"
"tripura","dhalai district","67846"
"assam","bongaigaon district","67790"
"odisha","boudh district","67782"
"jharkhand","pakur district","67735"
"assam","barpeta district","67729"
"uttarakhand","uttarkashi district","67713"
"uttarakhand","chamoli district","67712"
"madhya-pradesh","jhabua district","67708"
"bihar","pashchim champaran district","67656"
"madhya-pradesh","guna district","67630"
"assam","biswanath district","67580"
"jammu-&-kashmir","kathua district","67569"
"tripura","west tripura district","67549"
"uttar-pradesh","kaushambi district","67498"
"assam","goalpara district","67465"
"uttarakhand","champawat district","67455"
"telangana","peddapalle district","67418"
"madhya-pradesh","harda district","67392"
"tamil-nadu","dharmapuri district","67318"
"chhattisgarh","kondagaon district","67316"
"jharkhand","chatra district","67305"
"kerala","thrissur district","67247"
"maharashtra","gondia district","67233"
"himachal-pradesh","bilaspur district","67233"
"punjab","shahid bhagat singh nagar district","67197"
"chhattisgarh","bijapur district","67170"
"telangana","jaya shankar bhalupally district","67145"
"chhattisgarh","bemetara district","67115"
"karnataka","yadgir district","67099"
"gujarat","porbandar district","67063"
"ladakh","leh ladakh district","67049"
"maharashtra","chandrapur district","67034"
"uttarakhand","pithoragarh district","67024"
"gujarat","amreli district","67020"
"madhya-pradesh","tikamgarh district","67015"
"assam","lakhimpur district","67007"
"haryana","charkhi dadri district","67004"
"assam","hailakandi district","66975"
"andaman-&-nicobar-islands","south andaman district","66959"
"tamil-nadu","krishnagiri district","66958"
"bihar","sitamarhi district","66939"
"uttar-pradesh","lalitpur district","66906"
"jammu-&-kashmir","rajouri district","66893"
"tamil-nadu","pudukkottai district","66892"
"rajasthan","karauli district","66878"
"assam","charaideo district","66846"
"meghalaya","west garo hills district","66808"
"rajasthan","dungarpur district","66780"
"madhya-pradesh","seoni district","66772"
"odisha","deogarh district","66771"
"punjab","barnala district","66758"
"jharkhand","latehar district","66756"
"bihar","buxar district","66750"
"telangana","jogulamba gadwal district","66672"
"bihar","madhubani district","66664"
"chhattisgarh","sukma district","66659"
"himachal-pradesh","kullu district","66640"
"uttar-pradesh","ambedkar nagar district","66611"
"tripura","sepahijala district","66602"
"bihar","sheikhpura district","66571"
"jharkhand","lohardaga district","66559"
"punjab","patiala district","66507"
"uttar-pradesh","banda district","66504"
"chhattisgarh","dantewada district","66503"
"punjab","tarn taran district","66491"
"chhattisgarh","gariyaband district","66482"
"tripura","south tripura district","66478"
"karnataka","ramanagara district","66427"
"manipur","imphal east district","66388"
"maharashtra","gadchiroli district","66341"
"bihar","kaimur bhabua district","66307"
"assam","nagaon district","66306"
"uttarakhand","rudraprayag district","66304"
"uttarakhand","tehri garhwal district","66293"
"madhya-pradesh","agar malwa district","66194"
"madhya-pradesh","ratlam district","66181"
"himachal-pradesh","hamirpur district","66179"
"gujarat","chhotaudepur district","66155"
"karnataka","gadag district","66147"
"punjab","sri muktsar sahib district","66098"
"jammu-&-kashmir","baramulla district","66095"
"uttar-pradesh","mau district","66077"
"jammu-&-kashmir","samba district","66057"
"odisha","nuapada district","66020"
"madhya-pradesh","betul district","66003"
"assam","chirang district","65998"
"jharkhand","garhwa district","65981"
"telangana","vikarabad district","65959"
"mizoram","aizawl district","65940"
"gujarat","botad district","65918"
"assam","kamrup district","65883"
"tripura","unakoti district","65864"
"uttarakhand","bageshwar district","65847"
"tamil-nadu","nagapattinam district","65797"
"uttar-pradesh","bhadohi district","65763"
"west-bengal","kalimpong district","65762"
"uttar-pradesh","amethi district","65745"
"telangana","mahabubabad district","65709"
"telangana","mulugu district","65683"
"gujarat","tapi district","65634"
"jammu-&-kashmir","srinagar district","65611"
"uttarakhand","pauri garhwal district","65607"
"jammu-&-kashmir","anantnag district","65592"
"rajasthan","churu district","65574"
"madhya-pradesh","alirajpur district","65571"
"rajasthan","pratapgarh district","65571"
"assam","darrang district","65570"
"west-bengal","jhargram district","65500"
"chhattisgarh","mahasamund district","65492"
"nagaland","kohima district","65492"
"tripura","north tripura district","65452"
"chhattisgarh","mungeli district","65436"
"meghalaya","ri bhoi district","65395"
"tamil-nadu","tirupathur district","65372"
"uttar-pradesh","etawah district","65331"
"gujarat","surendranagar district","65325"
"uttar-pradesh","gonda district","65323"
"jharkhand","khunti district","65321"
"meghalaya","east khasi hills district","65268"
"karnataka","udupi district","65245"
"telangana","wanaparthy district","65235"
"himachal-pradesh","chamba district","65214"
"bihar","jehanabad district","65200"
"uttarakhand","nainital district","65142"
"tripura","gomati district","65137"
"puducherry","karaikal district","65076"
"karnataka","uttara kannada district","65063"
"assam","kokrajhar district","65062"
"assam","karimganj district","65059"
"madhya-pradesh","dindori district","65047"
"madhya-pradesh","katni district","65040"
"uttar-pradesh","kanpur dehat district","65036"
"jammu-&-kashmir","kishtwar district","65031"
"madhya-pradesh","chhindwara district","65005"
"maharashtra","washim district","65005"
"bihar","rohtas district","64983"
"punjab","sangrur district","64978"
"tripura","dhalai district","64896"
"madhya-pradesh","niwari district","64887"
"haryana","palwal district","64886"
"dadra-&-nagar-haveli-&-daman-&-diu","daman district","64854"
"chhattisgarh","rajnandgaon district","64828"
"jammu-&-kashmir","pulwama district","64808"
"bihar","arwal district","64808"
"jharkhand","sahebganj district","64796"
"gujarat","aravallis district","64792"
"gujarat","morbi district","64779"
"jammu-&-kashmir","srinagar district","64758"
"rajasthan","sirohi district","64717"
"chhattisgarh","sukma district","64712"
"odisha","balangir district","64699"
"jammu-&-kashmir","jammu district","64681"
"himachal-pradesh","shimla district","64640"
"assam","sivasagar district","64581"
"madhya-pradesh","narsinghpur district","64578"
"assam","hojai district","64551"
"bihar","katihar district","64523"
"uttarakhand","almora district","64523"
"tamil-nadu","thiruvarur district","64519"
"uttarakhand","champawat district","64508"
"uttar-pradesh","rampur district","64475"
"uttar-pradesh","budaun district","64463"
"telangana","jagtial district","64462"
"gujarat","mahisagar district","64428"
"odisha","dhenkanal district","64424"
"bihar","kishanganj district","64416"
"chhattisgarh","bijapur district","64355"
"punjab","rupnagar district","64333"
"madhya-pradesh","umaria district","64323"
"uttar-pradesh","ghazipur district","64317"
"assam","cachar district","64241"
"madhya-pradesh","shajapur district","64217"
"uttar-pradesh","baghpat district","64197"
"haryana","kurukshetra district","64186"
"madhya-pradesh","panna district","64176"
"west-bengal","alipurduar district","64136"
"uttar-pradesh","hamirpur district","64136"
"madhya-pradesh","datia district","64135"
"sikkim","south district","64133"
"bihar","lakhisarai district","64084"
"rajasthan","rajsamand district","64037"
"maharashtra","nandurbar district","64012"
"jammu-&-kashmir","kupwara district","63957"
"uttarakhand","rudraprayag district","63945"
"chhattisgarh","mohla manpur ambagarh chouki district","63941"
"chhattisgarh","korea district","63940"
"odisha","deogarh district","63936"
"odisha","malkangiri district","63880"
"assam","jorhat district","63858"
"madhya-pradesh","sidhi district","63838"
"gujarat","narmada district","63821"
"jharkhand","deoghar district","63814"
"uttar-pradesh","chitrakoot district","63813"
"meghalaya","west garo hills district","63792"
"punjab","kapurthala district","63785"
