"state","district","registered_users"
"tamil-nadu","thiruvallur district","2183990"
"tamil-nadu","chengalpattu district","2183205"
"uttar-pradesh","gautam buddha nagar district","2181874"
"rajasthan","alwar district","2179932"
"madhya-pradesh","bhopal district","2179557"
"maharashtra","mumbai district","2178155"
"uttar-pradesh","agra district","2177829"
"haryana","faridabad district","2177737"
"maharashtra","raigad district","2174799"
"maharashtra","raigad district","2171470"
"uttar-pradesh","ghaziabad district","2169109"
"uttar-pradesh","kanpur nagar district","2169076"
"telangana","rangareddy district","2166829"
"karnataka","belagavi district","2164342"
"karnataka","belagavi district","2164310"
"madhya-pradesh","indore district","2164101"
"uttar-pradesh","prayagraj district","2163437"
"maharashtra","nagpur district","2157149"
"bihar","patna district","2156402"
"west-bengal","south twenty four parganas district","2154289"
"maharashtra","mumbai suburban district","2151657"
"andhra-pradesh","east godavari district","2150622"
"andhra-pradesh","west godavari district","2146530"
"karnataka","mysuru district","2146289"
"andhra-pradesh","krishna district","2145423"
"west-bengal","north twenty four parganas district","2143943"
"andhra-pradesh","chittoor district","2141818"
"west-bengal","howrah district","2140752"
"delhi","south east delhi district","2133173"
"andhra-pradesh","anantapur district","2128066"
"delhi","west district","2124626"
"odisha","khordha district","2124474"
"tamil-nadu","chennai district","2124347"
"maharashtra","solapur district","2124162"
"kerala","ernakulam district","2119728"
"maharashtra","ahmednagar district","2119506"
"tamil-nadu","coimbatore district","2118883"
"maharashtra","palghar district","2118552"
"maharashtra","thane district","2118406"
"uttar-pradesh","kanpur nagar district","2116734"
"kerala","ernakulam district","2114463"
"andhra-pradesh","spsr nellore district","2114324"
"andhra-pradesh","kurnool district","2114023"
"punjab","ludhiana district","2111816"
"telangana","medchal malkajgiri district","2111567"
"andhra-pradesh","guntur district","2110878"
"tamil-nadu","chengalpattu district","2109212"
"haryana","gurugram district","2104240"
"uttar-pradesh","agra district","2103223"
"maharashtra","aurangabad district","2101234"
"madhya-pradesh","bhopal district","2101098"
"west-bengal","murshidabad district","2100695"
"rajasthan","alwar district","2100632"
"andhra-pradesh","prakasam district","2099814"
"uttar-pradesh","kanpur nagar district","2099245"
"haryana","faridabad district","2097648"
"karnataka","mysuru district","2094684"
"uttar-pradesh","varanasi district","2093895"
"gujarat","surat district","2092712"
"maharashtra","raigad district","2089294"
"delhi","north west district","2085373"
"karnataka","belagavi district","2084358"
"west-bengal","howrah district","2078394"
"west-bengal","kolkata district","2078360"
"uttar-pradesh","prayagraj district","2077118"
"uttar-pradesh","lucknow district","2076033"
"uttar-pradesh","varanasi district","2075958"
"tamil-nadu","thiruvallur district","2075274"
"maharashtra","mumbai district","2074701"
"west-bengal","south twenty four parganas district","2074469"
"telangana","hyderabad district","2071673"
"rajasthan","jaipur district","2060175"
"andhra-pradesh","west godavari district","2059880"
"andhra-pradesh","visakhapatnam district","2058346"
"delhi","south east delhi district","2055408"
"maharashtra","solapur district","2050042"
"maharashtra","nashik district","2049293"
"tamil-nadu","coimbatore district","2042019"
"delhi","central district","2040406"
"kerala","ernakulam district","2040327"
"uttar-pradesh","kanpur nagar district","2038863"
"andhra-pradesh","spsr nellore district","2037823"
"maharashtra","palghar district","2037722"
"karnataka","mysuru district","2034847"
"uttar-pradesh","ghaziabad district","2031752"
"tamil-nadu","chengalpattu district","2031529"
"andhra-pradesh","anantapur district","2030824"
